,PC1,PC2
7000.0,-0.05046903459857622,0.03164011519589737
7333.333333333333,-0.19096057906954497,0.06825286366819519
7666.666666666667,-0.21581633596593144,0.009211782143018708
8000.0,-0.26143331711995554,-0.18568734533091957
8333.333333333334,-0.25086416993131305,-0.2511626479674205
8666.666666666666,-0.2817221802095081,-0.4110293801909375
9000.0,-0.40171726154994875,-0.29385362603034165
9333.333333333334,-0.4316599776542344,-0.13590215456174418
9666.666666666666,-0.4328271463998013,0.5594212250489157
10000.0,-0.22998603744138058,0.3269457036703585
10333.333333333334,-0.1529078633010764,0.2151858163784947
10666.666666666666,-0.15579756290796448,-0.11520859654652735
11000.0,-0.06861450119997056,0.2186607931780544
11333.333333333334,-0.20714817579515019,-0.012461266990894674
11666.666666666666,-0.12926204081672163,0.2335360198143386
12000.0,-0.06198344498985646,0.2024800524345463
